# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	234938
#@/user_id	719dad4c-c9d9-4b1c-b8ec-191ba8a2c940
ba zhe 	八折	c=1 d=1 t=132362
ba zhe ge 	把這個	c=12 d=2.5358e-06 t=234932
ba zhe kuai 	吧這塊	c=1 d=1.51748e-171 t=234932
ba zhe li 	把這裏	c=1 d=2.37867e-165 t=234932
ba zi ji 	把自己	c=1 d=8.2441e-141 t=234932
bai 	佰	c=2 d=1.13455e-132 t=234932
bai 	掰	c=1 d=7.23541e-135 t=234932
bai 	擺	c=1 d=3.17675e-157 t=234932
bai 	白	c=30 d=0.00353575 t=234932
bai 	百	c=1 d=1 t=198105
bai bai 	拜拜	c=1 d=1 t=174340
bai chi 	白癡	c=1 d=1 t=152433
bai chui 	擺錘	c=1 d=0.00367942 t=234932
bai da 	百搭	c=1 d=1 t=135212
bai deng 	拜登	c=7 d=2.54255e-119 t=234932
bai di tan 	擺地攤	c=2 d=2.41642e-24 t=234932
bai du 	百度	c=70 d=2.27691 t=234932
bai du di tu 	百度地圖	c=2 d=3.03055e-44 t=234932
bai du wang pan 	百度網盤	c=3 d=9.35254e-37 t=234932
bai du yun 	百度雲	c=4 d=6.20596e-06 t=234932
bai fang 	擺放	c=1 d=1 t=230063
bai fen 	百分	c=1 d=3.78221e-33 t=234932
bai fen bai 	百分百	c=1 d=2.95092e-113 t=234932
bai fen bi 	百分比	c=16 d=0.0824965 t=234932
bai fen hao 	百分號	c=1 d=4.60924e-36 t=234932
bai fen zhi yi 	百分之一	c=2 d=5.76716e-55 t=234932
bai gong qun ying 	白宮羣英	c=0 d=0.1 t=201149
bai he 	白河	c=5 d=3.71124e-147 t=234932
bai huo 	敗火	c=1 d=1 t=224664
bai jia 	敗家	c=1 d=5.99091e-91 t=234932
bai jia hei 	白加黑	c=1 d=5.44872e-122 t=234932
bai jin 	白金	c=3 d=1 t=154497
bai jiu 	白酒	c=27 d=1.54202e-07 t=234932
bai lan 	擺爛	c=4 d=1 t=214534
bai lou 	白樓	c=1 d=2.00644e-16 t=234932
bai ming dan 	白名單	c=16 d=7.52526e-09 t=234932
bai nian qian 	百年前	c=1 d=2.92741e-19 t=234932
bai pi shu 	白皮書	c=1 d=1 t=155250
bai piao 	白醥	c=1 d=1.02822e-92 t=234932
bai ping 	白屏	c=19 d=0.486752 t=234932
bai ping guo 	白蘋果	c=1 d=1 t=179948
bai qiang 	百強	c=0 d=0.00214936 t=234932
bai qiang o 	百強哦	c=1 d=0.0216013 t=234932
bai ri 	百日	c=1 d=6.66048e-14 t=234932
bai ri xuan yin 	白日宣淫	c=1 d=3.95562e-31 t=234932
bai se 	白色	c=10 d=1.8819e-06 t=234932
bai shan 	白山	c=1 d=2.18149e-147 t=234932
bai shi 	百事	c=1 d=7.56973e-137 t=234932
bai si 	白絲	c=1 d=7.66398e-18 t=234932
bai tian 	白天	c=10 d=3.45844e-39 t=234932
bai tou 	白頭	c=1 d=1.93243e-15 t=234932
bai tuo 	拜託	c=1 d=1.45051e-140 t=234932
bai tuo 	擺脫	c=1 d=1.44327e-140 t=234932
bai wan 	百萬	c=4 d=4.95372e-31 t=234932
bai wu jin ji 	百無禁忌	c=1 d=1.2249e-63 t=234932
bai yang zuo 	白羊座	c=1 d=3.50012e-121 t=234932
bai yue guang 	白月光	c=1 d=2.8466e-72 t=234932
bai zao yin 	白噪音	c=1 d=1 t=154665
bai zhan tang 	白展堂	c=2 d=1.1203e-121 t=234932
bai zhe 	敗者	c=1 d=1 t=142324
bai zhong 	白種	c=1 d=4.6393e-83 t=234932
bai zi wan 	百子灣	c=1 d=4.83192e-91 t=234932
ban 	半	c=10 d=0.000578542 t=234932
ban 	板	c=6 d=1.29579e-19 t=234932
ban 	版	c=13 d=0.000323925 t=234932
ban 	班	c=9 d=0.891366 t=234932
ban 	般	c=1 d=1 t=131458
ban 	辦	c=19 d=0.00912694 t=234932
ban ban 	班班	c=1 d=2.18386e-101 t=234932
ban ben 	版本	c=305 d=2.68592 t=234932
ban ben hao 	版本號	c=5 d=1.16243e-06 t=234932
ban cang 	半仓	c=1 d=1 t=202176
ban dao 	辦到	c=1 d=1.34913e-23 t=234932
ban dao ti 	半導體	c=12 d=2.55235e-18 t=234932
ban duan 	半段	c=1 d=1.23112e-05 t=234932
ban fa 	辦法	c=32 d=0.0880377 t=234932
ban fen 	半分	c=0 d=1.41402e-106 t=234932
ban fen bi 	半分比	c=1 d=1.42111e-105 t=234932
ban ge 	半個	c=6 d=0.0017643 t=234932
ban ge duo xiao shi 	半個多小時	c=1 d=1.57351e-127 t=234932
ban ge xiao shi 	半個小時	c=9 d=4.44087e-10 t=234932
ban ge yue 	半個月	c=10 d=0.0275983 t=234932
ban gong 	辦公	c=35 d=0.0462395 t=234932
ban gong gou 	办公区	c=1 d=3.04532e-13 t=234932
ban gong qu 	辦公區	c=1 d=6.96349e-08 t=234932
ban gong shi 	辦公室	c=8 d=6.70412e-32 t=234932
ban guo lai 	搬過來	c=3 d=1.3199e-13 t=234932
ban guo qu 	搬過去	c=1 d=2.37622e-06 t=234932
ban hao 	辦好	c=3 d=2.41826e-15 t=234932
ban hui lai 	扳回來	c=1 d=7.60121e-127 t=234932
ban jia 	搬家	c=7 d=8.60199e-05 t=234932
ban jiang 	頒獎	c=1 d=1 t=132186
ban ka 	辦卡	c=1 d=2.07649e-08 t=234932
ban kuai 	板塊	c=5 d=6.57866e-46 t=234932
ban li zhi 	辦離職	c=1 d=1 t=181426
ban mei ban 	辦沒辦	c=1 d=7.61797e-06 t=234932
ban nian 	半年	c=15 d=2.73991e-05 t=234932
ban nian du 	半年度	c=1 d=5.74328e-65 t=234932
ban shan yao 	半山腰	c=1 d=3.01883e-116 t=234932
ban shi 	辦事	c=3 d=8.33539e-06 t=234932
ban tian 	半天	c=15 d=0.909373 t=234932
ban wan 	搬完	c=1 d=0.0023461 t=234932
ban xiao shi 	半小時	c=5 d=2.66029e-11 t=234932
ban xie 	板鞋	c=1 d=1.02884e-11 t=234932
ban ye 	半夜	c=1 d=6.48257e-19 t=234932
ban ye shi er dian 	半夜十二點	c=1 d=1 t=134219
ban yun 	搬運	c=1 d=5.59504e-169 t=234932
ban zhang 	班長	c=5 d=1.93355e-110 t=234932
ban zhou 	半周	c=1 d=0.918512 t=234932
ban zhu chi lao hu 	扮豬吃老虎	c=1 d=1.70327e-30 t=234932
ban zhuan 	搬磚	c=14 d=0.000293348 t=234932
ban zi 	板子	c=1 d=4.19152e-36 t=234932
ban zou 	搬走	c=2 d=2.63121e-06 t=234932
bang 	棒	c=8 d=1.30836e-15 t=234932
bang 	榜	c=2 d=1.00008 t=211672
bang 	綁	c=3 d=1.96561 t=186654
bang 	邦	c=1 d=1 t=168279
